followers,following,likes,comments,video_view_count,caption_length,hashtag_count,media_type,posts_count,category_name,post_hour,post_day_of_week,cluster
1096.0,331.0,17.0,0.0,0.0,333.0,27.0,1.0,669.0,Other,7.0,6.0,0
1096.0,331.0,26.0,0.0,0.0,330.0,30.0,1.0,669.0,Other,7.0,6.0,0
1096.0,331.0,5.0,0.0,0.0,333.0,30.0,1.0,669.0,Other,16.0,2.0,0
1096.0,331.0,12.0,0.0,0.0,433.0,29.0,1.0,669.0,Other,16.0,2.0,0
1096.0,331.0,12.0,1.0,63.0,461.0,27.0,0.0,669.0,Other,19.0,6.0,0
1096.0,331.0,13.0,0.0,0.0,372.0,30.0,1.0,669.0,Other,14.0,3.0,0
1096.0,331.0,14.0,1.0,0.0,373.0,30.0,1.0,669.0,Other,13.0,3.0,0
1096.0,331.0,11.0,0.0,80.0,487.0,26.0,0.0,669.0,Other,9.0,1.0,0
34866.0,0.0,13.0,0.0,0.0,309.0,23.0,1.0,2585.0,,11.0,6.0,0
34866.0,0.0,45.0,1.0,0.0,287.0,24.0,1.0,2585.0,Tech,6.0,6.0,0
34866.0,0.0,53.0,6.0,0.0,284.0,24.0,1.0,2585.0,,3.0,6.0,0
34866.0,0.0,32.0,1.0,0.0,306.0,23.0,1.0,2585.0,,23.0,5.0,0
34866.0,0.0,57.0,4.0,0.0,309.0,23.0,1.0,2585.0,,18.0,5.0,0
34866.0,0.0,96.0,4.0,0.0,287.0,24.0,1.0,2585.0,,15.0,5.0,0
34866.0,0.0,65.0,12.0,0.0,324.0,23.0,1.0,2585.0,,11.0,5.0,0
34866.0,0.0,30.0,2.0,0.0,163.0,11.0,1.0,2585.0,,7.0,5.0,0
34866.0,0.0,71.0,1.0,0.0,332.0,23.0,1.0,2585.0,,6.0,4.0,0
34866.0,0.0,29.0,0.0,0.0,317.0,23.0,1.0,2585.0,,3.0,4.0,0
34866.0,0.0,71.0,4.0,0.0,275.0,24.0,1.0,2585.0,,23.0,3.0,0
34866.0,0.0,74.0,3.0,0.0,281.0,24.0,1.0,2585.0,,18.0,3.0,0
198.0,36.0,8.0,0.0,0.0,683.0,29.0,1.0,88.0,Other,4.0,4.0,0
198.0,36.0,4.0,1.0,0.0,899.0,26.0,1.0,88.0,Other,7.0,3.0,0
198.0,36.0,10.0,1.0,0.0,854.0,29.0,1.0,88.0,Other,4.0,2.0,0
198.0,36.0,7.0,0.0,0.0,689.0,29.0,1.0,88.0,Other,10.0,0.0,0
198.0,36.0,7.0,0.0,0.0,715.0,30.0,1.0,88.0,Other,4.0,4.0,0
198.0,36.0,9.0,1.0,0.0,1070.0,28.0,1.0,88.0,Other,10.0,3.0,0
198.0,36.0,16.0,2.0,0.0,801.0,30.0,1.0,88.0,Other,5.0,3.0,0
198.0,36.0,10.0,0.0,0.0,681.0,29.0,1.0,88.0,Other,5.0,1.0,0
198.0,36.0,7.0,1.0,0.0,605.0,14.0,0.0,88.0,Other,13.0,2.0,0
198.0,36.0,12.0,2.0,0.0,921.0,28.0,1.0,88.0,Other,5.0,4.0,0
198.0,36.0,15.0,0.0,0.0,765.0,29.0,1.0,88.0,Other,4.0,1.0,0
198.0,36.0,15.0,1.0,0.0,1441.0,29.0,1.0,88.0,Other,4.0,3.0,0
12168.0,252.0,52.0,3.0,812.0,203.0,0.0,0.0,176.0,,15.0,0.0,0
12168.0,252.0,586.0,7.0,0.0,249.0,10.0,1.0,176.0,,19.0,1.0,0
12168.0,252.0,495.0,5.0,5244.0,183.0,6.0,0.0,176.0,,20.0,2.0,0
12168.0,252.0,607.0,19.0,0.0,209.0,6.0,1.0,176.0,,20.0,0.0,0
12168.0,252.0,362.0,3.0,3028.0,187.0,9.0,0.0,176.0,,18.0,6.0,0
12168.0,252.0,633.0,6.0,0.0,299.0,0.0,1.0,176.0,,20.0,5.0,0
12168.0,252.0,885.0,40.0,0.0,986.0,0.0,1.0,176.0,,19.0,1.0,0
12168.0,252.0,428.0,11.0,5133.0,125.0,9.0,0.0,176.0,,20.0,5.0,0
12168.0,252.0,483.0,29.0,0.0,97.0,7.0,1.0,176.0,,20.0,4.0,0
12168.0,252.0,95.0,2.0,1391.0,417.0,0.0,0.0,176.0,,21.0,3.0,0
12168.0,252.0,1115.0,13.0,0.0,151.0,9.0,1.0,176.0,,20.0,0.0,0
12168.0,252.0,697.0,24.0,0.0,465.0,10.0,1.0,176.0,,20.0,6.0,0
5731.0,690.0,461.0,14.0,0.0,1189.0,30.0,1.0,146.0,Digital creator,2.0,2.0,0
5731.0,690.0,230.0,12.0,0.0,1009.0,4.0,1.0,146.0,Digital creator,23.0,4.0,0
5731.0,690.0,249.0,18.0,0.0,1618.0,30.0,1.0,146.0,Digital creator,6.0,2.0,0
5731.0,690.0,169.0,20.0,0.0,1385.0,30.0,1.0,146.0,Digital creator,9.0,1.0,0
5731.0,690.0,343.0,41.0,0.0,1334.0,30.0,1.0,146.0,Digital creator,9.0,6.0,0
5731.0,690.0,214.0,38.0,0.0,1087.0,30.0,1.0,146.0,Digital creator,1.0,3.0,0
5731.0,690.0,300.0,28.0,0.0,1205.0,30.0,1.0,146.0,Digital creator,6.0,1.0,0
5731.0,690.0,165.0,44.0,0.0,343.0,30.0,0.0,146.0,Digital creator,4.0,1.0,0
5731.0,690.0,440.0,63.0,0.0,1565.0,25.0,1.0,146.0,Digital creator,3.0,6.0,0
5731.0,690.0,108.0,4.0,0.0,169.0,6.0,1.0,146.0,Digital creator,5.0,2.0,0
5731.0,690.0,281.0,40.0,0.0,1158.0,28.0,1.0,146.0,Digital creator,3.0,1.0,0
5731.0,690.0,147.0,31.0,1116.0,939.0,30.0,0.0,146.0,Digital creator,2.0,6.0,0
1600.0,1031.0,76.0,0.0,0.0,3433.0,9.0,1.0,606.0,,11.0,4.0,0
1600.0,1031.0,86.0,0.0,0.0,2013.0,5.0,1.0,606.0,,12.0,3.0,0
