followers,following,likes,comments,video_view_count,caption_length,hashtag_count,media_type,posts_count,category_name,post_hour,post_day_of_week
452,156,66,6,868,277,30,video,418,Software,15,4
452,156,194,3,0,365,30,image,418,Software,3,4
872,357,13,1,0,26,0,image,151,Unknown,22,3
872,357,6,1,0,20,0,image,151,Unknown,20,6
872,357,20,0,0,433,30,image,151,Unknown,21,3
872,357,2,1,0,0,0,image,151,Unknown,7,4
872,357,7,0,0,285,19,image,151,Unknown,19,4
872,357,7,1,0,334,26,image,151,Unknown,23,0
872,357,24,1,0,397,29,image,151,Unknown,21,1
872,357,17,0,0,457,26,image,151,Unknown,22,5
872,357,16,0,0,492,26,image,151,Unknown,10,2
872,357,13,3,0,425,23,image,151,Unknown,23,3
872,357,12,1,0,374,24,image,151,Unknown,12,6
872,357,12,1,0,413,25,image,151,Unknown,3,1
166,46,7,0,0,443,18,image,226,Unknown,17,2
166,46,7,1,0,1550,21,image,226,Unknown,20,2
166,46,13,1,0,1362,17,image,226,Unknown,21,3
166,46,7,0,0,1770,25,image,226,Unknown,19,3
166,46,11,0,0,1091,21,image,226,Unknown,19,2
166,46,9,0,75,1415,22,video,226,Unknown,20,2
166,46,5,0,0,1047,28,image,226,Unknown,22,0
166,46,6,0,0,1316,19,image,226,Unknown,21,4
166,46,9,2,35,974,17,video,226,Unknown,21,4
166,46,4,2,0,1535,23,image,226,Unknown,23,2
166,46,4,0,0,1649,23,image,226,Unknown,15,3
166,46,13,0,0,1931,21,image,226,Unknown,23,4
325,39,4,0,0,223,9,image,145,Unknown,9,3
325,39,9,1,0,160,0,image,145,Unknown,8,0
325,39,78,0,0,452,7,image,145,Unknown,5,6
325,39,5,0,0,68,0,image,145,Unknown,5,4
325,39,15,2,0,870,23,image,145,Unknown,14,0
325,39,11,0,0,1074,20,image,145,Unknown,14,5
325,39,4,0,0,749,16,image,145,Unknown,11,4
325,39,7,0,0,444,7,image,145,Unknown,6,2
325,39,21,0,0,210,7,image,145,Unknown,9,5
325,39,34,0,0,471,15,image,145,Unknown,13,4
325,39,28,0,0,1031,20,image,145,Unknown,6,2
325,39,19,0,0,1022,19,image,145,Unknown,10,0
160,91,23,1,0,400,9,image,22,Unknown,22,5
160,91,19,1,0,185,6,image,22,Unknown,22,1
160,91,18,0,0,112,4,image,22,Unknown,19,0
160,91,14,0,0,137,4,image,22,Unknown,3,0
160,91,8,0,0,97,2,image,22,Unknown,23,2
160,91,20,0,0,216,7, video ,22,edu,3,1
160,91,11,0,0,271,4,image,22,Unknown,4,5
160,91,31,2,0,508,14,image,22,Unknown,20,0
160,91,29,3,0,159,7,image,22,Unknown,8,1
160,91,18,0,0,171,3,image,22,Unknown,1,1
160,91,6,0,0,154,2,image,22,Unknown,13,4
160,91,12,1,0,93,4,image,22,Unknown,0,0
339,43,10,1,0,665,27,image,288,Unknown,7,6
339,43,7,0,0,564,23,image,288,Unknown,6,5
339,43,10,0,0,673,23,image,288,Unknown,7,4
339,43,18,0,0,348,25,image,288,Unknown,7,3
339,43,13,0,0,?,22,image,288,Unknown,7,2
339,43,10,0,0,328,29,image,288,Unknown,7,1
339,43,28,5,0,515,19,image,288,Unknown,7,0
339,43,16,0,0,271,20,image,288,Unknown,7,6
339,43,12,0,0,360,29,image,288,Unknown,7,5
339,43,25,0,0,799,26,image,288,Unknown,7,4
339,43,11,0,0,467,26,image,288,Unknown,7,3
339,43,12,0,17,427,16,video,288,Unknown,13,2
161,197,11,0,53,413,28,video,45,Unknown,14,6
161,197,23,0,0,426,29,image,45,Unknown,16,3
161,197,10,0,0,473,28,image,45,Unknown,9,2
161,197,15,0,0,415,30,image,45,Unknown,7,0
161,197,17,0,0,447,31,image,45,Unknown,16,5
161,197,20,0,0,404,31,image,45,Unknown,9,5
161,197,15,0,0,403,31,image,45,Unknown,7,3
161,197,20,0,0,406,31,image,45,Unknown,7,3
unknown,197,14,unknown,0,?,31,image,45,Unknown,12,2
161,197,21,0,0,441,31,image,45,Unknown,15,1
161,197,19,0,0,365,28,image,45,Unknown,15,6
161,197,23,0,0,557,31,image,45,Unknown,14,2
1177,1152,77,0,0,1215,30,image,126,Unknown,15,1
1177,1152,78,0,0,1050,25,image,126,Unknown,14,2
1177,1152,121,0,0,1149,30,image,126,Unknown,15,6
1177,1152,89,0,0,1531,30,image,126,Unknown,15,1
1177,1152,93,0,0,1076,30,image,126,Unknown,14,3
1177,1152,92,0,0,855,30,image,126,Unknown,15,1
1177,1152,80,1,0,1021,30,image,126,Unknown,15,3
1177,1152,79,2,0,1498,30,image,126,Unknown,14,1
1177,1152,75,0,0,1090,30,image,126,Unknown,15,2
1177,1152,53,1,0,1343,30,image,126,Unknown,15,0
1177,1152,114,1,0,1040,30,image,126,Unknown,14,5
1177,1152,63,0,0,1065,30,image,126,Unknown,15,3
1234,842,3,1,0,758,25,image,1157,Unknown,13,3
1234,842,9,0,0,701,26,image,1157,Unknown,3,1
1234,842,4,1,0,497,20,image,1157,Unknown,13,0
1234,842,5,1,0,657,30,image,1157,Unknown,12,0
1234,842,7,1,0,574,25,image,1157,Unknown,12,0
1234,842,5,1,0,512,20,image,1157,Unknown,12,0
1234,842,5,1,0,676,26,image,1157,Unknown,12,0
1234,842,14,1,0,500,17,image,1157,Unknown,11,1
1234,842,8,1,0,514,19,image,1157,Unknown,10,1
1234,842,6,1,0,449,19,image,1157,Unknown,9,2
1234,842,9,1,0,604,20,image,1157,Unknown,17,0
1234,842,5,1,0,570,29,image,1157,Unknown,15,0
2785,76,27,4,323,381,25,video,91,Unknown,12,2
2785,76,46,3,0,592,20,image,91,Unknown,12,1
2785,76,43,1,0,760,28,image,91,Unknown,14,0
2785,76,121,4,0,521,28,image,91,Unknown,12,4
2785,76,92,11,0,333,20,image,91,Unknown,21,2
2785,76,77,6,0,322,22,image,91,Unknown,15,1
2785,76,191,15,0,441,20,image,91,Unknown,12,4
2785,76,207,18,0,856,8,image,91,Unknown,15,3
2785,76,132,2,0,285,20,image,91,Unknown,15,2
2785,76,208,2,0,304,20,image,91,Unknown,15,0
2785,76,23,2,359,1612,25,video,91,Unknown,21,2
2785,76,38,0,0,1519,17,image,91,Unknown,11,0
55992,13,751,4,0,462,30,image,1803,Unknown,14,5
55992,13,999,9,0,542,29,image,1803,Unknown,20,1
55992,13,669,12,0,491,26,image,1803,Unknown,9,3
55992,13,417,5,0,776,30,image,1803,Unknown,7,1
unknown,13,?,8,0,?,26,image,1803,Unknown,9,4
55992,13,734,304,0,388,30,image,1803,Unknown,14,3
55992,13,282,5,0,616,30,image,1803,Unknown,9,2
55992,13,679,10,0,814,30,image,1803,Unknown,7,1
55992,13,649,19,0,849,30,image,1803,Unknown,7,0
55992,13,198,0,0,885,26,image,1803,Unknown,9,6
55992,13,821,6,0,996,30,image,1803,Unknown,21,5
55992,13,1019,10,0,655,30,image,1803,Unknown,8,5
280,3117,15,0,41,107,0,video,79,"Science, Technology & Engineering",6,4
280,3117,25,0,139,243,7,video,79,"Science, Technology & Engineering",8,3
280,3117,29,4,0,434,30,image,79,"Science, Technology & Engineering",17,4
280,3117,39,4,0,704,31,image,79,"Science, Technology & Engineering",5,4
280,3117,37,2,0,612,30,image,79,"Science, Technology & Engineering",17,0
280,3117,31,4,0,576,32,image,79,"Science, Technology & Engineering",15,3
280,3117,42,2,0,867,30,image,79,"Science, Technology & Engineering",6,2
280,3117,44,3,0,620,29,image,79,"Science, Technology & Engineering",17,0
280,3117,28,2,0,697,16,image,79,"Science, Technology & Engineering",16,4
