followers,following,likes,video_view_count,caption_length,hashtag_count,media_type,posts_count,post_hour,post_day_of_week,views_per_follower,views_per_hashtag,like_rate,virality_score,target
12168,252,586,3739,249,10,1.0,176,19,1,0.31,373.9,0.048159105851413544,0.19198002671611997,0
12168,252,495,5244,183,6,0.0,176,20,2,0.43,874.0,0.040680473372781065,0.2464445689556982,0
12168,252,607,3873,209,6,1.0,176,20,0,0.32,645.5,0.04988494411571335,0.19749883218535344,0
12168,252,362,3028,187,9,0.0,176,18,6,0.25,336.44,0.029750164365548983,0.15530398323708117,0
12168,252,633,4039,299,0,1.0,176,20,5,0.33,0.0,0.052021696252465485,0.20311612072282387,0
12168,252,885,5647,986,0,1.0,176,19,1,0.46,0.0,0.07273175542406311,0.27055663632554067,0
12168,252,428,5133,125,9,0.0,176,20,5,0.42,570.33,0.03517422748191979,0.24002637844718533,0
12168,252,483,3082,97,7,1.0,176,20,4,0.25,440.29,0.039694280078895465,0.15866765632067562,0
12168,252,95,1391,417,0,0.0,176,21,3,0.11,0.0,0.0078073635765943455,0.07055597529877185,0
12168,252,1115,7114,151,9,1.0,176,20,0,0.58,790.44,0.09163379355687049,0.3280125640929501,0
12168,252,697,4447,465,10,1.0,176,20,6,0.37,444.7,0.05728139381985536,0.22412229266787234,0
5731,690,461,2941,1189,30,1.0,146,2,2,0.51,98.03,0.0804397138370267,0.2949501082886804,0
5731,690,230,1467,1009,4,1.0,146,23,4,0.26,366.75,0.04013261210957948,0.1639944944600675,0
5731,690,249,1589,1618,30,1.0,146,6,2,0.28,52.97,0.04344791484906648,0.17534473699302078,0
5731,690,169,1078,1385,30,1.0,146,9,1,0.19,35.93,0.029488745419647532,0.12324145999996038,0
5731,690,343,2188,1334,30,1.0,146,9,6,0.38,72.93,0.059849938928633745,0.22969884032880847,0
5731,690,214,1365,1087,30,1.0,146,1,3,0.24,45.5,0.03734077822369569,0.15265356985161524,0
5731,690,300,1914,1205,30,1.0,146,6,1,0.33,63.8,0.05234688536032106,0.20322429206661782,0
5731,690,165,1053,343,30,0.0,146,4,1,0.18,35.1,0.028790786948176585,0.11751882677152498,0
5731,690,440,2807,1565,25,1.0,146,3,6,0.49,112.28,0.07677543186180422,0.28509428029155437,0
5731,690,108,689,169,6,1.0,146,5,2,0.12,114.83,0.018844878729715582,0.08019797525568212,0
5731,690,281,1793,1158,28,1.0,146,3,1,0.31,64.04,0.04903158262083406,0.1922712419008838,0
